1.5	1.45E+000
1.75	1.26E+000
2	1.07E+000
2.25	8.90E-001
2.5	7.10E-001
2.75	5.99E-001
3	4.91E-001
3.25	3.97E-001
3.5	3.17E-001
3.75	2.48E-001
4	1.90E-001
4.25	1.48E-001
4.5	1.07E-001
4.75	7.90E-002
5	5.76E-002
5.25	4.41E-002
5.5	3.50E-002
5.75	2.66E-002
6	1.77E-002
6.25	1.26E-002
6.5	9.40E-003
6.75	6.94E-003
7	4.68E-003
7.25	3.05E-003
7.5	1.80E-003
7.75	8.80E-004
8	5.00E-004
8.25	3.50E-004
8.5	2.20E-004
