1	1	-18079.5	-799699	-6605
1	2	472323	60325.2	-3225
1	4	-406758	812082	-1755
2	1	-14960.5	-804521	-6605
2	2	471297	65974.8	-3225
2	4	-411758	809258	-1755
3	4	-409582	817082	-1755
4	4	-414582	814258	-1755
5	1	-16520	-802110	-6564
5	2	471810	63150	-3184
5	4	-410670	813170	-1714
6	1	-16520	-802110	-7066
6	2	471810	63150	-3686
6	4	-410670	813170	-2216
7	1	-17458.1	-799739	5390
7	2	471765	60600.9	8770
7	4	-415344	809957	10240

