1	1	7	6	1	1	1	-16031.4	-812374	-1356.74	-0.0412639	-0.0264252	0.998799
2	1	7	6	1	1	2	-16171.6	-812155	-1356.74	-0.0412639	-0.0264252	0.998799
3	1	7	6	1	1	3	-16311.9	-811936	-1356.74	-0.0412639	-0.0264252	0.998799
4	1	7	6	1	1	4	-16452.1	-811717	-1356.74	-0.0412639	-0.0264252	0.998799
5	1	7	6	1	1	5	-16592.3	-811498	-1356.74	-0.0412639	-0.0264252	0.998799
6	1	7	6	1	1	6	-16732.5	-811279	-1356.74	-0.0412639	-0.0264252	0.998799
7	1	7	6	1	1	7	-16872.7	-811060	-1356.74	-0.0412639	-0.0264252	0.998799
8	1	7	6	1	1	8	-17012.9	-810841	-1356.74	-0.0412639	-0.0264252	0.998799
9	1	7	6	1	2	1	-15757	-811117	-1305.86	-0.0412639	-0.0264252	0.998799
10	1	7	6	1	2	2	-15975.7	-811257	-1318.6	-0.0412639	-0.0264252	0.998799
11	1	7	6	1	2	3	-16194.4	-811397	-1331.34	-0.0412639	-0.0264252	0.998799
12	1	7	6	1	2	4	-16413.1	-811538	-1344.08	-0.0412639	-0.0264252	0.998799
13	1	7	6	1	2	5	-16631.8	-811678	-1356.82	-0.0412639	-0.0264252	0.998799
14	1	7	6	1	2	6	-16850.5	-811818	-1369.56	-0.0412639	-0.0264252	0.998799
15	1	7	6	1	2	7	-17069.2	-811958	-1382.3	-0.0412639	-0.0264252	0.998799
16	1	7	6	1	2	8	-17287.8	-812098	-1395.04	-0.0412639	-0.0264252	0.998799
17	1	7	6	1	3	1	-15758.1	-811118	-1280.49	-0.0412639	-0.0264252	0.998799
18	1	7	6	1	3	2	-15976.8	-811258	-1293.23	-0.0412639	-0.0264252	0.998799
19	1	7	6	1	3	3	-16195.5	-811398	-1305.97	-0.0412639	-0.0264252	0.998799
20	1	7	6	1	3	4	-16414.1	-811538	-1318.71	-0.0412639	-0.0264252	0.998799
21	1	7	6	1	3	5	-16632.8	-811678	-1331.45	-0.0412639	-0.0264252	0.998799
22	1	7	6	1	3	6	-16851.5	-811818	-1344.19	-0.0412639	-0.0264252	0.998799
23	1	7	6	1	3	7	-17070.2	-811958	-1356.93	-0.0412639	-0.0264252	0.998799
