id	date_time	DBNS_PTH_T2	DBNS_PTH_T3
360200	2012-01-19 14:22:48	22.66	21.40
360400	2012-01-19 17:42:38	22.67	21.48
360600	2012-01-19 21:02:36	22.62	21.32
360800	2012-01-20 00:22:34	22.53	21.37
361000	2012-01-20 03:42:33	22.40	21.18
361200	2012-01-20 07:02:31	22.44	21.23
361400	2012-01-20 10:22:31	22.62	21.37
361600	2012-01-20 13:42:31	22.44	21.24
361800	2012-01-20 17:02:31	22.40	21.12
362000	2012-01-20 20:22:31	22.60	21.42
362200	2012-01-20 23:42:31	22.42	21.14
362400	2012-01-21 03:02:31	22.60	21.40
362600	2012-01-21 07:08:31	22.44	21.28
362800	2012-01-21 10:28:31	22.47	21.10
363000	2012-01-21 13:48:31	22.28	21.09
363200	2012-01-21 17:08:31	22.47	21.24
363400	2012-01-21 20:28:31	22.61	21.38
363600	2012-01-21 23:48:31	22.53	21.26
363800	2012-01-22 03:08:31	22.34	21.09
364000	2012-01-22 06:28:31	22.59	21.33
364200	2012-01-22 09:48:31	22.34	21.08
364400	2012-01-22 13:08:31	22.48	21.15
364600	2012-01-22 16:28:31	22.27	21.09
364800	2012-01-22 19:48:31	22.27	21.01
365000	2012-01-22 23:08:31	22.17	20.96
365200	2012-01-23 02:28:31	22.17	20.93
365400	2012-01-23 05:48:31	22.06	20.85
365600	2012-01-23 09:08:31	22.04	20.90
365800	2012-01-23 12:28:31	22.11	20.86
366000	2012-01-23 15:48:31	22.01	20.85
366200	2012-01-23 19:08:31	21.95	20.84
366400	2012-01-23 22:28:31	22.12	20.87
366600	2012-01-24 01:48:33	22.12	20.92
366800	2012-01-24 05:08:33	22.01	20.95
367000	2012-01-24 08:28:33	22.14	20.90
367200	2012-01-24 11:48:33	22.18	20.92
367400	2012-01-24 15:08:33	22.16	20.88
367600	2012-01-24 18:28:33	21.89	20.72
367800	2012-01-24 21:48:33	21.95	20.68
368000	2012-01-25 01:08:33	21.80	20.60
368200	2012-01-25 04:28:33	21.80	20.48
368400	2012-01-25 07:48:33	21.64	20.38
368600	2012-01-25 11:08:33	21.66	20.46
368800	2012-01-25 14:28:33	21.64	20.43
369000	2012-01-25 17:48:33	21.58	20.44
369200	2012-01-25 21:08:33	21.64	20.48
369400	2012-01-26 00:28:33	21.75	20.52
369600	2012-01-26 03:48:33	21.68	20.60
369800	2012-01-26 07:08:33	21.76	20.56
370000	2012-01-26 10:28:33	21.71	20.58
370200	2012-01-26 13:48:33	21.81	20.64
370400	2012-01-26 17:08:29	21.92	20.72
370600	2012-01-26 20:28:26	21.93	20.69
370800	2012-01-26 23:48:24	21.98	20.81
371000	2012-01-27 03:08:21	22.13	20.89
371200	2012-01-27 06:28:19	22.15	20.84
371400	2012-01-27 09:48:19	22.12	20.80
371600	2012-01-27 13:08:19	22.19	20.94
371800	2012-01-27 16:28:19	22.20	21.01
372000	2012-01-27 19:48:19	22.26	21.04
372200	2012-01-27 23:08:19	22.22	21.09
372400	2012-01-28 02:28:19	22.28	21.10
372600	2012-01-28 05:48:19	22.28	21.05
372800	2012-01-28 09:08:19	22.34	21.13
373000	2012-01-28 12:28:19	22.45	21.33
373200	2012-01-28 15:48:19	22.30	21.14
373400	2012-01-28 19:08:19	22.68	21.44
373600	2012-01-28 22:28:19	22.50	21.23
373800	2012-01-29 01:48:19	22.62	21.24
374000	2012-01-29 05:08:19	22.59	21.34
374200	2012-01-29 08:28:19	22.57	21.28
374400	2012-01-29 11:48:19	22.44	21.14
374600	2012-01-29 15:08:19	22.42	21.16
374800	2012-01-29 18:28:19	22.49	21.32
375000	2012-01-29 21:48:19	22.41	21.12
375200	2012-01-30 01:08:19	22.38	21.15
375400	2012-01-30 04:28:19	22.30	21.06
375600	2012-01-30 07:48:19	22.24	20.98
375800	2012-01-30 11:08:19	22.31	21.14
376000	2012-01-30 14:28:19	22.40	21.30
376200	2012-01-30 17:48:19	22.46	21.30
376400	2012-01-30 21:08:19	22.43	21.08
376600	2012-01-31 00:28:19	22.38	21.14
376800	2012-01-31 03:48:19	22.32	21.04
377000	2012-01-31 07:08:19	22.22	20.95
377200	2012-01-31 10:28:19	22.21	20.99
377400	2012-01-31 13:48:19	22.34	21.22
377600	2012-01-31 17:08:19	22.39	21.21
377800	2012-01-31 20:28:19	22.34	21.20
378000	2012-01-31 23:48:19	22.34	21.16
378200	2012-02-01 03:08:19	22.32	21.07
378400	2012-02-01 06:28:19	22.33	21.10
378600	2012-02-01 09:48:19	22.29	21.07
378800	2012-02-01 13:08:19	22.44	21.24
379000	2012-02-01 16:28:19	22.50	21.34
379200	2012-02-01 19:48:19	22.48	21.12
379400	2012-02-01 23:08:19	22.44	21.21
379600	2012-02-02 02:28:19	22.33	21.08
379800	2012-02-02 05:48:19	22.46	21.24
380000	2012-02-02 09:08:19	22.35	21.16
380200	2012-02-02 12:28:19	22.44	21.20
380400	2012-02-02 15:48:19	22.42	21.22
380600	2012-02-02 19:08:16	22.37	21.18
380800	2012-02-02 22:28:13	22.49	21.17
381000	2012-02-03 01:48:10	22.44	21.17
381200	2012-02-03 05:08:08	22.46	21.10
