x(cm)         y
3.7406483791	337.6043870917
13.0922693267	850.6356851827
22.4438902743	1051.274960554
33.6658354115	992.2768302567
44.8877805486	850.6356851827
56.1097256858	688.2890737975
65.4613466334	556.9268458415
72.9426433915	459.3953415979
84.1645885287	357.6774423231
93.5162094763	289.4135289445
104.7381546135	234.1780074027
114.0897755611	196.9226615729
123.4413965087	162.4366899479
134.6633416459	136.5946600896
142.144638404	114.8638350793
153.3665835411	102.3331571112
164.5885286783	86.0529897278
173.9401496259	75.2034678139
185.1620947631	68.3017898403
196.3840399003	57.4356678269
205.7356608479	53.1786182489
215.0872817955	45.5877120093
222.5685785536	43.8657422938
231.9201995012	35.493821457
243.1421446384	36.1837785626
254.3640897756	30.4273063869
263.7157107232	29.2779857078
274.9376558604	29.8471144589
284.289276808	27.6348890105
293.6408977556	26.5910453985
302.9925187032	26.5910453985
314.2144638404	23.2384584555
323.566084788	22.360679775
334.7880299252	19.9213177494
346.0099750623	17.0776775762
355.36159601	16.7520381472
364.7132169576	15.8119045319
372.1945137157	14.9245317333
383.4164588529	14.0869587854
392.7680798005	13.0428535417
403.9900249377	11.1810699604
413.3416458853	11.61998796
424.5635910224	10.1549451485
433.9152119701	9.0471260742
443.2668329177	9.5850440289
454.4887780549	7.6078200762
461.970074813	7.6078200762
473.1920199501	6.9096245571
484.4139650873	6.6486295717
493.7655860349	5.6995803981
503.1172069825	5.8103733709
514.3391521197	5.3797168043
521.8204488778	4.6117967793
533.042394015	4.5238584245
540.5236907731	4.0303435331
553.6159600998	3.5906669641
564.8379052369	4.0303435331
574.1895261845	3.0781223144
583.5411471322	3.3245318626
594.7630922693	2.588424274
604.114713217	2.8499762895
613.4663341646	2.5390678554
624.6882793017	2.3060489641
634.0399002494	2.2620769155
643.391521197	2.2189433318
654.6134663342	1.8659319533
663.9650872818	1.8659319533
673.3167082294	2.3508757763
684.5386533666	1.5391616574
693.8902743142	1.3451048538
703.2418952618	1.1755146439
714.463840399	1.1311123142
723.8154613466	0.8153912908
733.1670822943	1.1983652316
742.5187032419	1.0676336676
753.7406483791	1.1311123142
763.0922693267	0.8638722794
774.3142144638	1.3451048538
783.6658354115	0.8977839796
794.8877805486	0.6856708066
802.3690773067	0.6856708066
813.5910224439	0.915235818
822.9426433915	0.5655930878
836.0349127182	0.3363201324
845.3865336658	0.475612964
854.7381546135	0.3054548901
864.0897755611	0.5038916407
873.4413965087	0.2721323317
884.6633416459	0.3632431989
894.0149625935	0.2996304356
905.2369077307	0.2424449839
914.5885286783	0.1189187702
923.9401496259	0.1
935.1620947631	0.2118776303
944.5137157107	0.1781700483
953.8653366584	0.1212304078
966.957605985	0.1
974.4389027431	0.1
983.7905236908	0.1
993.1421446384	0.1189187702
1004.3640897756	0.1498250007
1013.7157107232	0.1
1023.0673316708	0.2378220107
1034.289276808	0.1498250007
1043.6408977556	0.1
